mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
35.7,6,184.7,107.9,2528.0,17.9,75,1,synthetic-auto-0367
37.0,8,236.3,112.2,3211.0,18.4,75,1,synthetic-auto-0368
37.6,4,109.7,67.5,1814.0,17.5,70,3,synthetic-auto-0369
37.9,4,128.0,75.2,2140.0,20.4,72,1,synthetic-auto-0370
43.4,4,105.4,72.5,2179.0,18.2,82,1,synthetic-auto-0371
35.0,6,167.9,98.6,2666.0,19.2,73,1,synthetic-auto-0372
43.6,4,104.4,69.0,2017.0,20.8,79,3,synthetic-auto-0373
36.6,4,139.1,103.4,2220.0,16.9,70,1,synthetic-auto-0374
43.4,6,173.9,117.1,2288.0,17.7,76,1,synthetic-auto-0375
35.0,6,208.8,135.5,3450.0,13.2,76,1,synthetic-auto-0376
28.2,8,291.5,169.9,4026.0,16.2,80,1,synthetic-auto-0377
39.2,6,196.3,113.9,2732.0,17.6,74,1,synthetic-auto-0378
38.9,4,114.8,73.2,2398.0,16.4,74,3,synthetic-auto-0379
27.9,8,256.5,113.4,3428.0,17.6,71,1,synthetic-auto-0380
48.0,4,65.0,46.0,1600.0,17.1,80,1,synthetic-auto-0381
35.9,8,288.7,151.7,3581.0,14.8,80,3,synthetic-auto-0382
38.6,6,178.5,61.7,2371.0,15.9,72,1,synthetic-auto-0383
41.3,6,169.5,74.6,2235.0,15.1,77,1,synthetic-auto-0384
35.9,8,250.1,140.7,3019.0,18.4,77,3,synthetic-auto-0385
43.4,4,129.1,61.5,2121.0,16.6,76,1,synthetic-auto-0386
36.4,4,136.8,72.8,2733.0,18.5,72,1,synthetic-auto-0387
42.6,4,144.9,84.7,2074.0,16.9,80,1,synthetic-auto-0388
41.3,6,206.0,81.1,3318.0,12.8,78,3,synthetic-auto-0389
46.0,4,123.2,73.2,2091.0,14.9,80,1,synthetic-auto-0390
39.2,4,153.5,119.8,2613.0,15.0,80,1,synthetic-auto-0391
44.2,8,162.4,87.8,2348.0,19.3,82,2,synthetic-auto-0392
