訂單編號,日期,星期,分店,時段,天氣,會員編號,品項,類別,數量,單價,金額
A21717,2026/08/03,星期一,中壢店,早上,晴,M1618,起司蛋糕,烘焙,2,120,240.0
A23424,2026-08-24,星期一,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23342,2026-08-22,星期六,中壢店,早上,晴,M0879,紅茶,茶飲,3,50,150.0
A22601,20260814,星期五,中壢店,早上,晴,M0498,可頌,烘焙,2,60,120.0
A22926,2026/08/17,星期一,中壢店,下午,晴,,抹茶拿鐵,茶飲,3,100,300.0
A23800,2026-08-29,星期六,板橋店,早上,陰,M0081,拿鐵,咖啡,2,90,180.0
A23167,2026-08-21,星期五,信義店,下午,陰,,拿鐵,咖啡,1,90,90.0
A22155,2026-08-09,星期日,板橋店,早上,晴,M1908,起司蛋糕,烘焙,2,120,
A22321,2026-08-11,星期二,信義店,晚上,雨,M1143,紅茶,茶飲,1,50,50.0
A22485,2026-08-13,星期四,板橋店,下午,晴,M1841,拿鐵,咖啡,1,90,90.0
A23325,2026-08-22,星期六,板橋店,早上,晴,M0725,抹茶拿鐵,茶飲,2,100,200.0
A23931,2026/08/30,星期日,中壢店,早上,晴,M0590,美式咖啡,咖啡,1,70,70.0
A22163,2026-08-09,星期日,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A22254,2026-08-10,星期一,信義店,下午,晴,M1217,美式咖啡,咖啡,2,7000,14000.0
A22910,2026-08-17,星期一,板橋店,晚上,晴,,美式咖啡,咖啡,1,70,70.0
A23560,2026/08/26,星期三,板橋店,下午,陰,M1814,抹茶拿鐵,茶飲,1,100,100.0
A23095,2026-08-20,星期四,信義店,早上,晴,,肉桂捲,烘焙,2,85,170.0
A22803,2026-08-16,星期日,信義店,下午,陰,,肉桂捲,烘焙,1,85,85.0
A23557,2026-08-26,星期三,板橋店,下午,陰,,肉桂捲,烘焙,2,85,170.0
A22356,2026-08-12,星期三,信義店,下午,陰,M0075,肉桂捲,烘焙,1,85,85.0
A22613,2026/08/14,星期五,中壢店,下午,晴,M0943,紅茶,茶飲,1,50,50.0
A23943,20260830,星期日,中壢店,早上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A21840,2026-08-06,星期四,信義店,早上,陰,,美式咖啡,咖啡,2,70,140.0
A21861,2026-08-06,星期四,信義店,晚上,陰,,美式咖啡,咖啡,3,70,210.0
A22523,2026-08-14,星期五,信義店,晚上,晴,,紅茶,茶飲,3,50,150.0
A22563,2026-08-14,星期五,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23285,2026-08-22,星期六,板橋店,下午,晴,M0939,紅茶,茶飲,3,50,150.0
A22789,2026-08-16,星期日,信義店,晚上,陰,,卡布奇諾,咖啡,3,95,285.0
A22683,2026-08-15,星期六,信義店,下午,晴,M1913,拿鐵,咖啡,1,90,90.0
A23831,2026/08/29,星期六,中壢店,下午,陰,M1614,抹茶拿鐵,茶飲,2,100,200.0
A23231,20260821,星期五,中壢店,下午,陰,M0184,美式咖啡,咖啡,1,70,70.0
A22101,2026-08-09,星期日,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A22152,2026-08-09,星期日,信義店,晚上,晴,M0231,卡布奇諾,咖啡,1,95,95.0
A22224,2026-08-09,星期日,中壢店,早上,晴,M0641,起司蛋糕,烘焙,1,120,120.0
A22826,2026-08-16,星期日,板橋店 ,早上,陰,,肉桂捲,烘焙,2,85,170.0
A22190,2026-08-09,星期日,板橋店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21693,2026-08-03,星期一,板橋店,早上,晴,M0829,拿鐵,咖啡,1,90,90.0
A23009,2026-08-19,星期三,信義,晚上,晴,M1258,紅茶,茶飲,2,50,100.0
A21568,2026-08-02,星期日,信義店,下午,陰,M0572,拿鐵,咖啡,2,90,180.0
A23420,2026-08-24,星期一,信義店,早上,晴,M0690,美式咖啡,咖啡,1,70,70.0
A22555,2026-08-14,星期五,信義店,下午,晴,M0320,拿鐵,咖啡,1,90,90.0
A22272,2026-08-10,星期一,板橋店,下午,晴,,卡布奇諾,咖啡,1,9500,9500.0
A22891,2026-08-17,星期一,信義店,早上,晴,,拿鐵,咖啡,2,90,180.0
A22229,2026-08-09,星期日,中壢店,下午,晴,M1850,起司蛋糕,烘焙,2,120,240.0
A23766,2026-08-29,星期六,信義店,下午,陰,M0150,拿鐵,咖啡,1,90,90.0
A23599,2026-08-27,星期四,信義店 ,早上,晴,M0223,紅茶,茶飲,1,50,50.0
A21951,2026-08-07,星期五,信義店,早上,晴,,美式咖啡,咖啡,2,70,140.0
A22939,2026-08-18,星期二,信義店,早上,陰,M0322,美式咖啡,咖啡,1,70,70.0
A21928,2026-08-07,星期五,信義店,晚上,晴,M0250,肉桂捲,烘焙,2,85,170.0
A22821,2026/08/16,星期日,板橋店,下午,陰,M1439,美式咖啡,咖啡,2,70,140.0
A22255,2026-08-10,星期一,信義店,早上,晴,M1074,美式咖啡,咖啡,1,70,70.0
A23210,2026-08-21,星期五,板橋店,晚上,陰,,起司蛋糕,烘焙,2,120,240.0
A21570,2026-08-02,星期日,信義店,早上,陰,M1461,拿鐵,咖啡,1,90,90.0
A21699,20260803,星期一,板橋店,早上,晴,M0314,紅茶,茶飲,1,50,50.0
A22827,2026-08-16,星期日,板橋店,下午,陰,M1274,抹茶拿鐵,茶飲,3,100,300.0
A23060,20260819,星期三,中壢店,晚上,晴,,美式咖啡,咖啡,1,70,70.0
A21783,2026-08-04,星期二,中壢店,下午,雨,,抹茶拿鐵,茶飲,3,100,300.0
A23033,2026-08-19,星期三,板橋店,早上,晴,M0062,起司蛋糕,烘焙,1,120,120.0
A23655,20260827,星期四,中壢店,早上,晴,M1956,拿鐵,咖啡,1,90,90.0
A23133,2026-08-20,星期四,中壢店,下午,晴,M1596,美式咖啡,咖啡,1,70,70.0
X0014,2026-08-15,星期六,中壢店,早上,晴,M0255,肉桂捲,烘焙,0,85,0.0
A22391,2026-08-12,星期三,信義店,早上,陰,M1426,可頌,烘焙,1,60,60.0
A22467,2026-08-13,星期四,板橋店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A22670,2026-08-15,星期六,信義店,下午,晴,,美式咖啡,咖啡,3,70,210.0
A21685,2026-08-03,星期一,板橋店,晚上,晴,M0260,抹茶拿鐵,茶飲,2,100,200.0
A22980,2026-08-18,星期二,中壢,下午,陰,M0681,拿鐵,咖啡,1,90,90.0
A23737,2026-08-28,星期五,中壢店,早上,晴,M1266,拿鐵,咖啡,2,90,180.0
A23517,2026-08-26,星期三,信義店,早上,陰,M0174,抹茶拿鐵,茶飲,2,100,200.0
A21665,2026-08-03,星期一,信義店,晚上,晴,M0232,美式咖啡,咖啡,1,70,70.0
A21626,20260802,星期日,板橋店,早上,陰,M0063,拿鐵,咖啡,1,90,90.0
A22132,2026-08-09,星期日,信義店,下午,晴,M0445,卡布奇諾,咖啡,1,95,95.0
A22465,2026-08-13,星期四,板橋店,晚上,晴,,紅茶,茶飲,1,50,50.0
A22878,2026-08-17,星期一,信義店,早上,晴,M0618,拿鐵,咖啡,1,90,90.0
A23374,20260823,星期日,信義店,早上,雨,M1656,抹茶拿鐵,茶飲,2,100,200.0
A21805,2026-08-05,星期三,板橋店,下午,雨,M0350,拿鐵,咖啡,1,90,90.0
A22334,2026-08-11,星期二,板橋店,早上,雨,M1191,拿鐵,咖啡,1,9000,9000.0
A22042,2026-08-08,星期六,信義店,早上,雨,M1859,美式咖啡,咖啡,2,70,140.0
A21810,2026-08-05,星期三,板橋店,早上,雨,M1544,可頌,烘焙,1,60,60.0
A23166,2026-08-21,星期五,信義店,下午,陰,,可頌,烘焙,1,6000,6000.0
A23295,2026-08-22,星期六,板橋店,早上,晴,,紅茶,茶飲,1,50,50.0
A23573,2026-08-26,星期三,中壢店,晚上,陰,M1975,美式咖啡,咖啡,2,70,140.0
A21596,2026-08-02,星期日,信義店,下午,陰,M1488,起司蛋糕,烘焙,3,120,360.0
A21541,2026-08-01,星期六,板橋店,晚上,雨,,起司蛋糕,烘焙,3,120,360.0
A22065,2026-08-08,星期六,板橋店,早上,雨,M0126,起司蛋糕,烘焙,1,120,
A22018,2026-08-07,星期五,中壢店,下午,晴,M1315,可頌,烘焙,1,60,60.0
A23974,2026-08-31,星期一,信義店,早上,晴,M1002,卡布奇諾,咖啡,2,95,190.0
A22033,20260808,星期六,信義店,晚上,雨,,拿鐵,咖啡,3,90,270.0
A22458,2026-08-13,星期四,信義店,下午,晴,M0498,紅茶,茶飲,2,50,100.0
A22303,2026-08-10,星期一,中壢店,早上,晴,M0900,紅茶,茶飲,1,50,50.0
A22761,2026-08-15,星期六,中壢店,早上,晴,,美式咖啡,咖啡,2,70,140.0
A21622,2026-08-02,星期日,板橋店,早上,陰,M1669,拿鐵,咖啡,1,90,90.0
A22140,2026-08-09,星期日,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23230,2026-08-21,星期五,中壢店,下午,陰,M1304,卡布奇諾,咖啡,3,95,285.0
A22959,2026-08-18,星期二,板橋店,早上,陰,,抹茶拿鐵,茶飲,1,100,100.0
A21524,2026-08-01,星期六,板橋店,早上,雨,M0074,起司蛋糕,烘焙,2,120,240.0
A22432,2026-08-12,星期三,中壢店,早上,陰,M1936,抹茶拿鐵,茶飲,1,100,100.0
A24039,2026-08-31,星期一,中壢店,下午,晴,,肉桂捲,烘焙,1,85,85.0
A22931,2026-08-17,星期一,中壢店,下午,晴,M1067,美式咖啡,咖啡,1,70,70.0
A22741,2026-08-15,星期六,中壢店,下午,晴,M1597,拿鐵,咖啡,1,90,90.0
A22006,2026-08-07,星期五,中壢店,下午,晴,,抹茶拿鐵,茶飲,1,100,100.0
A23351,2026-08-22,星期六,中壢店,下午,晴,M1239,美式咖啡,咖啡,1,70,70.0
A21486,2026-08-01,星期六,信義店,下午,雨,,紅茶,茶飲,1,50,50.0
A23266,2026-08-22,星期六,信義店,早上,晴,M0151,美式咖啡,咖啡,1,70,70.0
A21481,2026/08/01,星期六,信義店,下午,雨,,可頌,烘焙,1,60,60.0
A22526,2026-08-14,星期五,信義店,下午,晴,,可頌,烘焙,1,60,60.0
A23300,2026-08-22,星期六,板橋店,早上,晴,M0048,拿鐵,咖啡,3,90,270.0
A23102,2026-08-20,星期四,板橋店,早上,晴,,紅茶,茶飲,1,50,50.0
A23732,2026-08-28,星期五,中壢店,下午,晴,M0527,拿鐵,咖啡,2,90,180.0
A23946,2026-08-30,星期日,中壢店,下午,晴,,拿鐵,咖啡,3,90,270.0
A22092,2026-08-09,星期日,信義店,下午,晴,M1730,卡布奇諾,咖啡,2,95,190.0
A23592,2026-08-27,星期四,信義店,下午,晴,,拿鐵,咖啡,2,90,180.0
A23370,2026/08/23,星期日,信義店,早上,雨,,拿鐵,咖啡,3,90,270.0
A23817,2026-08-29,星期六,板橋店,下午,陰,M1857,抹茶拿鐵,茶飲,3,100,300.0
A22899,2026-08-17,星期一,信義店,下午,晴,M0521,拿鐵,咖啡,1,90,90.0
A23307,2026-08-22,星期六,板橋店,下午,晴,,美式咖啡,咖啡,3,70,210.0
A23465,2026-08-24,星期一,中壢店,早上,晴,,美式咖啡,咖啡,3,70,210.0
A22222,2026-08-09,星期日,中壢店,下午,晴,M1109,美式咖啡,咖啡,2,70,140.0
A23576,2026-08-26,星期三,中壢店,下午,陰,M1695,起司蛋糕,烘焙,1,120,120.0
A22783,2026-08-16,星期日,信義店,早上,陰,M1321,卡布奇諾,咖啡,2,95,190.0
A22887,2026-08-17,星期一,信義店,晚上,晴,M0150,肉桂捲,烘焙,2,85,170.0
A23406,2026-08-23,星期日,中壢店,早上,雨,M1332,拿鐵,咖啡,1,90,90.0
A22838,2026-08-16,星期日,板橋店,早上,陰,,美式咖啡,咖啡,1,70,70.0
A23627,2026-08-27,星期四,板橋,下午,晴,M1483,紅茶,茶飲,1,50,50.0
A23476,2026-08-25,星期二,信義店,晚上,雨,,美式咖啡,咖啡,1,70,70.0
A21640,2026-08-02,星期日,中壢店,下午,陰,M0919,肉桂捲,烘焙,2,85,170.0
A22067,2026/08/08,星期六,板橋店,晚上,雨,,肉桂捲,烘焙,2,85,170.0
A23876,2026-08-30,星期日,信義店,下午,晴,,拿鐵,咖啡,2,90,180.0
A23958,2026-08-30,星期日,中壢店,晚上,晴,M0052,可頌,烘焙,1,60,60.0
A21936,2026-08-07,星期五,信義店,下午,晴,M1563,卡布奇諾,咖啡,3,95,285.0
A21809,2026-08-05,星期三,板橋店,早上,雨,,美式咖啡,咖啡,1,70,70.0
A21843,2026-08-06,星期四,信義店,下午,陰,M0421,肉桂捲,烘焙,3,85,255.0
A22410,2026-08-12,星期三,板橋店,晚上,陰,,卡布奇諾,咖啡,1,95,95.0
A23132,2026-08-20,星期四,中壢店,下午,晴,M0632,美式咖啡,咖啡,1,70,70.0
A23141,2026-08-21,星期五,信義店,下午,陰,,可頌,烘焙,1,60,60.0
A22645,2026-08-15,星期六,信義店,早上,晴,,拿鐵,咖啡,2,90,180.0
A21656,2026-08-03,星期一,信義店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A23919,2026-08-30,星期日,板橋店,早上,晴,M0365,起司蛋糕,烘焙,1,120,120.0
A23436,2026-08-24,星期一,信義店,下午,晴,M1425,拿鐵,咖啡,1,90,90.0
A24016,2026-08-31,星期一,板橋店,下午,晴,M0471,起司蛋糕,烘焙,1,120,120.0
A23257,2026-08-22,星期六,信義店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A21657,2026-08-03,星期一,信義店,晚上,晴,M1667,抹茶拿鐵,茶飲,1,100,100.0
A22634,2026-08-15,星期六,信義店,早上,晴,,拿鐵,咖啡,3,90,270.0
A23242,2026-08-21,星期五,中壢店,晚上,陰,,美式咖啡,咖啡,3,70,210.0
A22015,2026-08-07,星期五,中壢店,早上,晴,M0055,拿鐵,咖啡,3,90,270.0
A22844,2026-08-16,星期日, 板橋店,早上,陰,,肉桂捲,烘焙,3,85,255.0
A22888,2026-08-17,星期一,信義店,下午,晴,,美式咖啡,咖啡,2,70,140.0
A23832,2026-08-29,星期六,中壢店　,晚上,陰,,拿鐵,咖啡,1,90,90.0
A23933,2026-08-30,星期日,中壢店,下午,晴,,紅茶,茶飲,3,50,150.0
A23183,2026-08-21,星期五,板橋店,早上,陰,M1922,抹茶拿鐵,茶飲,1,100,100.0
A22837,2026-08-16,星期日,板橋店,下午,陰,M0728,拿鐵,咖啡,1,90,90.0
A23954,2026-08-30,星期日,中壢店　,下午,晴,M1940,美式咖啡,咖啡,2,70,140.0
A21961,2026-08-07,星期五,信義店,晚上,晴,M0473,美式咖啡,咖啡,3,70,210.0
A23900,2026-08-30,星期日,板橋店,下午,晴,M0321,拿鐵,咖啡,3,90,270.0
A22470,2026-08-13,星期四,板橋店,下午,晴,,美式咖啡,咖啡,2,70,140.0
A23553,2026/08/26,星期三,板橋店,早上,陰,,起司蛋糕,烘焙,1,120,120.0
A23184,2026-08-21,星期五,板橋店,早上,陰,M1200,卡布奇諾,咖啡,1,95,95.0
A22708,2026-08-15,星期六,板橋店,早上,晴,M0627,抹茶拿鐵,茶飲,2,100,200.0
A22478,2026-08-13,星期四,板橋店,晚上,晴,M1939,卡布奇諾,咖啡,2,95,190.0
A23176,2026/08/21,星期五,板橋店,下午,陰,M0422,拿鐵,咖啡,2,90,180.0
A22944,2026-08-18,星期二,信義店,下午,陰,M1737,美式咖啡,咖啡,2,70,140.0
A21757,2026-08-04,星期二,板橋店,下午,雨,,紅茶,茶飲,1,50,50.0
A21851,2026-08-06,星期四,信義店,下午,陰,,拿鐵,咖啡,2,90,180.0
A22399,2026-08-12,星期三,板橋,早上,陰,M1817,可頌,烘焙,2,60,120.0
A23722,2026-08-28,星期五,板橋,下午,晴,M0276,肉桂捲,烘焙,2,85,170.0
A24042,2026-08-31,星期一,中壢店,下午,晴,M1548,肉桂捲,烘焙,2,85,170.0
A21874,2026-08-06,星期四,板橋店,早上,陰,M0940,拿鐵,咖啡,3,90,270.0
A22029,2026-08-07,星期五,中壢店,下午,晴,M0751,抹茶拿鐵,茶飲,1,100,100.0
A23372,2026-08-23,星期日,信義店,下午,雨,M0690,起司蛋糕,烘焙,2,120,240.0
A22022,2026-08-07,星期五,中壢店,早上,晴,M0694,起司蛋糕,烘焙,1,120,120.0
A23121,2026-08-20,星期四,板橋店,晚上,晴,,肉桂捲,烘焙,2,85,170.0
A21745,2026-08-04,星期二,信義店,晚上,雨,,美式咖啡,咖啡,1,70,70.0
A23444,2026-08-24,星期一,板橋店,早上,晴,,拿鐵,咖啡,1,90,
A23550,2026-08-26,星期三,板橋店,下午,陰,,可頌,烘焙,1,60,60.0
A22698,2026-08-15,星期六,板橋店,早上,晴,,可頌,烘焙,1,60,60.0
A22041,2026-08-08,星期六,信義店,早上,雨,M1954,拿鐵,咖啡,2,90,180.0
A22483,2026-08-13,星期四,板橋店,下午,晴,M0859,可頌,烘焙,1,60,60.0
A22664,2026-08-15,星期六,信義店,下午,晴,M0025,起司蛋糕,烘焙,2,120,240.0
A21782,2026/08/04,星期二,中壢店,晚上,雨,M1751,紅茶,茶飲,1,50,50.0
A23868,2026-08-30,星期日,信義店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A22685,2026-08-15,星期六,板橋店,晚上,晴,M1350,卡布奇諾,咖啡,9,95,855.0
A22991,2026-08-18,星期二,中壢店,早上,陰,,紅茶,茶飲,1,50,50.0
A22676,2026-08-15,星期六,信義店,下午,晴,,抹茶拿鐵,茶飲,3,100,300.0
A24015,2026-08-31,星期一,板橋店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A21507,2026-08-01,星期六,信義店,早上,雨,M1423,肉桂捲,烘焙,1,85,85.0
A23996,2026-08-31,星期一,信義店,下午,晴,M0670,紅茶,茶飲,1,50,50.0
A23196,2026/08/21,星期五,板橋店,下午,陰,M1074,抹茶拿鐵,茶飲,2,100,200.0
A22102,2026-08-09,星期日,信義店,下午,晴,,卡布奇諾,咖啡,3,95,285.0
A21692,2026-08-03,星期一,板橋店,晚上,晴,M1252,卡布奇諾,咖啡,3,95,285.0
A23963,2026-08-30,星期日,中壢店,早上,晴,M1425,卡布奇諾,咖啡,3,95,285.0
A22407,2026-08-12,星期三,板橋店,早上,陰,M0428,卡布奇諾,咖啡,3,95,285.0
A22793,2026-08-16,星期日,信義店,早上,陰,,卡布奇諾,咖啡,1,95,95.0
A23728,2026-08-28,星期五,板橋店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A23360,2026-08-23,星期日,信義店,晚上,雨,M0232,紅茶,茶飲,1,50,50.0
A23520,2026-08-26,星期三,信義店,下午,陰,M0231,抹茶拿鐵,茶飲,2,100,200.0
A23881,2026-08-30,星期日,信義店 ,早上,晴,M1093,可頌,烘焙,1,60,60.0
A23657,2026-08-27,星期四,中壢店,早上,晴,M1951,美式咖啡,咖啡,2,70,140.0
A23212,2026/08/21,星期五,板橋店,晚上,陰,M0423,肉桂捲,烘焙,1,85,85.0
A22030,20260808,星期六,信義店,早上,雨,,拿鐵,咖啡,1,90,90.0
A22586,2026-08-14,星期五,中壢店,晚上,晴,,拿鐵,咖啡,1,90,90.0
A21516,2026-08-01,星期六,板橋店,早上,雨,,抹茶拿鐵,茶飲,2,100,200.0
A21750,2026-08-04,星期二,板橋店,早上,雨,M1182,美式咖啡,咖啡,1,70,
A22365,2026-08-12,星期三,信義店,早上,陰,M1671,卡布奇諾,咖啡,1,95,95.0
A22815,2026-08-16,星期日,板橋店,下午,陰,M0650,美式咖啡,咖啡,1,70,70.0
A22792,2026-08-16,星期日,信義店,下午,陰,M1909,拿鐵,咖啡,2,90,180.0
A23511,2026-08-25,星期二,中壢店,晚上,雨,M1191,抹茶拿鐵,茶飲,2,100,200.0
A22767,20260815,星期六,中壢店,晚上,晴,M0038,美式咖啡,咖啡,1,70,70.0
A23630,2026-08-27,星期四,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A21799,2026-08-05,星期三,信義店,晚上,雨,M0418,美式咖啡,咖啡,1,70,70.0
A22889,2026-08-17,星期一,信義店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23097,2026-08-20,星期四,信義店,下午,晴,,可頌,烘焙,2,60,120.0
A22044,20260808,星期六,信義店,早上,雨,M0263,美式咖啡,咖啡,1,70,70.0
A23480,2026-08-25,星期二,信義店,早上,雨,M1255,紅茶,茶飲,3,50,150.0
A21644,2026-08-02,星期日,中壢店,下午,陰,M0999,拿鐵,咖啡,1,90,90.0
A23153,2026-08-21,星期五,信義店,早上,陰,,紅茶,茶飲,3,50,
A21824,2026-08-05,星期三,中壢店,早上,雨,,紅茶,茶飲,2,50,100.0
A23181,2026-08-21,星期五,板橋店,晚上,陰,M1725,卡布奇諾,咖啡,3,95,285.0
A22266,2026-08-10,星期一,信義店,早上,晴,M1778,拿鐵,咖啡,1,90,90.0
A22326,2026-08-11,星期二,信義店,早上,雨,M1833,美式咖啡,咖啡,1,70,70.0
A22431,2026-08-12,星期三,中壢店,下午,陰,M1888,可頌,烘焙,1,60,60.0
A21913,2026-08-06,星期四,中壢店,早上,陰,,美式咖啡,咖啡,1,70,70.0
A23838,2026-08-29,星期六,中壢店,下午,陰,,美式咖啡,咖啡,1,70,70.0
A22511,2026/08/13,星期四,中壢店,早上,晴,,卡布奇諾,咖啡,2,95,190.0
A21873,2026-08-06,星期四,板橋店,晚上,陰,,美式咖啡,咖啡,2,70,140.0
A21893,2026-08-06,星期四,中壢店,早上,陰,M1774,肉桂捲,烘焙,1,85,85.0
A23182,2026-08-21,星期五,板橋店,早上,陰,M0704,美式咖啡,咖啡,1,70,70.0
A22961,2026-08-18,星期二,板橋店,早上,陰,M1834,拿鐵,咖啡,1,90,90.0
A23603,2026-08-27,星期四,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21635,2026-08-02,星期日,中壢店,下午,陰,,美式咖啡,咖啡,3,70,210.0
A23044,2026-08-19,星期三,板橋店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A23587,2026-08-27,星期四,信義店,下午,晴,M0114,拿鐵,咖啡,1,90,90.0
A22166,2026-08-09,星期日,板橋店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21814,2026-08-05,星期三,板橋店,晚上,雨,M1578,肉桂捲,烘焙,1,85,85.0
A23305,2026-08-22,星期六,板橋店,早上,晴,M0291,可頌,烘焙,1,60,60.0
A21954,2026-08-07,星期五,信義店,下午,晴,M1217,紅茶,茶飲,1,50,50.0
A22621,2026-08-14,星期五,中壢店,早上,晴,M0746,肉桂捲,烘焙,1,85,85.0
A23619,2026-08-27,星期四,信義店,早上,晴,M1401,拿鐵,咖啡,1,90,90.0
A22662,2026/08/15,星期六,信義店,晚上,晴,,可頌,烘焙,1,60,60.0
A22121,2026-08-09,星期日,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21866,2026-08-06,星期四,板橋店,晚上,陰,,抹茶拿鐵,茶飲,2,100,200.0
A23565,2026-08-26,星期三,中壢店,早上,陰,,拿鐵,咖啡,3,90,270.0
A22877,2026-08-16,星期日,中壢店,晚上,陰,M0025,美式咖啡,咖啡,1,70,70.0
A22905,2026/08/17,星期一,板橋店,早上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A21760,2026-08-04,星期二,板橋店,晚上,雨,M1003,起司蛋糕,烘焙,2,120,240.0
A22701,2026-08-15,星期六,板橋店,早上,晴,,紅茶,茶飲,3,50,150.0
A22862,2026-08-16,星期日,中壢店,早上,陰,M1953,可頌,烘焙,2,60,120.0
A23679,2026-08-28,星期五,信義店,下午,晴,,肉桂捲,烘焙,1,85,85.0
A22598,2026-08-14,星期五,中壢店,晚上,晴,M1762,紅茶,茶飲,1,50,50.0
A23185,2026/08/21,星期五,板橋店,晚上,陰,,抹茶拿鐵,茶飲,1,100,100.0
A22199,2026-08-09,星期日,板橋店,下午,晴,M0576,美式咖啡,咖啡,2,70,140.0
A21718,2026-08-03,星期一,中壢店,晚上,晴,M0965,拿鐵,咖啡,3,90,270.0
A23984,2026-08-31,星期一,信義店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A21743,20260804,星期二,信義店,早上,雨,M1893,卡布奇諾,咖啡,3,95,285.0
A22582,2026/08/14,星期五,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23157,20260821,星期五,信義店,下午,陰,M0576,肉桂捲,烘焙,1,85,85.0
A22061,2026-08-08,星期六,板橋店,下午,雨,M0259,卡布奇諾,咖啡,1,95,95.0
A21704,2026-08-03,星期一,中壢店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23650,2026-08-27,星期四,中壢店,晚上,晴,M0135,拿鐵,咖啡,1,90,90.0
A21620,2026-08-02,星期日,板橋店,晚上,陰,,起司蛋糕,烘焙,1,120,120.0
A22436,2026-08-12,星期三,中壢店,早上,陰,M0117,紅茶,茶飲,1,50,50.0
A22726,2026-08-15,星期六,板橋店,下午,晴,M1590,可頌,烘焙,2,60,120.0
A23418,2026-08-24,星期一,信義店,早上,晴,,肉桂捲,烘焙,3,85,255.0
A22231,2026-08-09,星期日,中壢店,下午,晴,M0526,美式咖啡,咖啡,1,70,70.0
A22552,2026-08-14,星期五,信義店,晚上,晴,,卡布奇諾,咖啡,1,95,95.0
A21543,2026-08-01,星期六,中壢店,早上,雨,M0554,美式咖啡,咖啡,1,70,70.0
A23344,2026-08-22,星期六,中壢店,下午,晴,M0956,拿鐵,咖啡,2,90,180.0
A23475,2026-08-25,星期二,信義店,早上,雨,M0689,紅茶,茶飲,2,50,100.0
A21614,2026/08/02,星期日,板橋店,晚上,陰,M1997,抹茶拿鐵,茶飲,2,100,200.0
A22648,20260815,星期六,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A22351,2026-08-11,星期二,中壢店,晚上,雨,,美式咖啡,咖啡,2,70,140.0
A23248,2026-08-22,星期六,信義店,早上,晴,M0254,卡布奇諾,咖啡,3,95,285.0
A22055,2026-08-08,星期六,板橋店,晚上,雨,M0820,拿鐵,咖啡,1,90,90.0
A23269,2026-08-22,星期六,信義店,下午,晴,,拿鐵,咖啡,1,90,90.0
A21981,2026-08-07,星期五,板橋店,早上,晴,M0263,拿鐵,咖啡,1,90,90.0
A22557,2026-08-14,星期五,信義店,早上,晴,M1494,拿鐵,咖啡,2,90,180.0
A22416,2026-08-12,星期三,中壢店,早上,陰,,卡布奇諾,咖啡,2,95,190.0
A22573,2026-08-14,星期五,板橋店,下午,晴,M0263,美式咖啡,咖啡,1,70,70.0
A21705,2026-08-03,星期一,中壢店,晚上,晴,M0875,可頌,烘焙,2,60,120.0
A22052,2026-08-08,星期六,板橋店 ,早上,雨,M1885,紅茶,茶飲,1,50,50.0
A23428,2026-08-24,星期一,信義店,下午,晴,M0981,拿鐵,咖啡,3,90,270.0
A21901,2026-08-06,星期四,中壢店,下午,陰,,抹茶拿鐵,茶飲,1,100,100.0
A22479,2026-08-13,星期四,板橋店,晚上,晴,M0465,抹茶拿鐵,茶飲,3,100,300.0
A22695,2026-08-15,星期六,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23536,2026-08-26,星期三,信義店,早上,陰,M0262,起司蛋糕,烘焙,1,120,120.0
A22920,2026-08-17,星期一,板橋店,下午,晴,M0536,紅茶,茶飲,1,50,50.0
A22642,2026-08-15,星期六,信義店,下午,晴,,卡布奇諾,咖啡,1,95,95.0
A21584,2026-08-02,星期日,信義店,早上,陰,,拿鐵,咖啡,3,90,270.0
A23571,2026-08-26,星期三,中壢店,晚上,陰,,抹茶拿鐵,茶飲,1,100,100.0
A23191,2026-08-21,星期五,板橋店,晚上,陰,M0519,拿鐵,咖啡,1,90,90.0
A21536,2026-08-01,星期六,板橋店,下午,雨,M1629,拿鐵,咖啡,1,90,90.0
