會員編號,性別,年齡,加入月數,來店次數,平均消費,距上次來店天數,會員等級,電子報,住家距離,最愛類別,回購
M0420,男,52,33,4,161,29,一般,1,3.5,咖啡,1
M0421,男,68,15,7,109,49,銀卡,0,6.3,咖啡,0
M0422,女,52,28,3,149,24,一般,0,2.8,咖啡,0
M0423,男,69,8,18,164,4,銀卡,1,1.0,烘焙,1
M0424,女,59,32,3,96,14,一般,1,0.3,茶飲,0
M0425,女,58,17,18,221,9,銀卡,0,2.2,烘焙,1
M0426,女,72,26,3,82,9,一般,0,3.0,烘焙,0
M0427,女,70,15,5,208,90,銀卡,1,3.2,茶飲,0
M0428,女,30,16,7,161,4,銀卡,1,7.0,茶飲,1
M0429,男,41,1,2,208,35,一般,0,7.7,咖啡,0
M0430,男,50,33,9,228,24,銀卡,0,1.8,咖啡,1
M0431,男,60,3,7,147,0,一般,0,7.0,咖啡,0
M0432,女,52,9,9,142,13,銀卡,1,2.5,咖啡,1
M0433,女,64,26,18,255,6,金卡,0,3.2,茶飲,1
M0434,女,47,6,17,82,0,銀卡,1,8.2,烘焙,1
M0435,女,66,4,2,158,80,一般,0,2.9,茶飲,0
M0436,女,38,21,19,146,0,金卡,1,1.5,咖啡,1
M0437,女,33,9,8,95,11,銀卡,1,5.3,咖啡,1
M0438,男,58,6,11,232,13,銀卡,0,4.4,咖啡,1
M0439,女,43,15,4,70,43,一般,0,8.5,咖啡,0
M0440,女,62,18,12,114,14,金卡,1,3.9,咖啡,1
M0441,男,38,15,4,158,5,一般,1,4.1,烘焙,1
M0442,男,72,3,13,138,7,一般,1,9.9,茶飲,0
M0443,女,48,6,14,90,0,銀卡,0,2.0,茶飲,1
M0444,女,72,15,5,130,0,銀卡,1,1.6,茶飲,0
M0445,男,60,17,3,163,25,一般,1,1.8,咖啡,1
M0446,女,38,34,2,182,36,一般,1,2.7,茶飲,0
M0447,女,38,25,4,118,14,一般,1,5.8,茶飲,0
M0448,女,43,1,15,172,23,一般,0,2.4,咖啡,1
M0449,女,56,14,5,207,8,銀卡,1,2.5,咖啡,0
M0450,女,67,9,10,338,4,銀卡,0,1.7,咖啡,1
M0451,女,44,18,5,116,24,銀卡,0,1.7,咖啡,1
M0452,女,72,23,13,138,4,金卡,1,1.6,茶飲,0
M0453,女,68,22,13,183,4,金卡,0,3.8,咖啡,0
M0454,女,57,4,2,173,27,一般,1,1.8,烘焙,1
M0455,女,47,1,7,167,27,一般,0,2.3,烘焙,0
M0456,男,32,22,3,132,45,一般,0,1.5,咖啡,0
M0457,女,46,21,8,196,4,銀卡,1,2.2,咖啡,1
M0458,女,32,2,8,148,5,一般,0,1.0,咖啡,1
M0459,女,46,2,1,163,90,一般,1,5.4,烘焙,0
M0460,男,63,26,6,194,10,銀卡,1,1.3,茶飲,1
M0461,女,55,11,5,118,0,銀卡,1,3.3,烘焙,1
M0462,男,48,19,18,143,8,金卡,0,3.6,咖啡,1
M0463,女,72,35,8,144,19,銀卡,0,1.2,茶飲,0
M0464,女,64,9,17,188,17,銀卡,1,4.0,茶飲,1
M0465,女,58,27,9,162,10,銀卡,0,1.2,茶飲,1
M0466,男,54,13,4,178,72,一般,0,2.9,茶飲,0
M0467,男,52,8,4,232,1,一般,0,0.6,烘焙,0
M0468,女,58,16,1,153,53,一般,1,2.0,茶飲,0
M0469,女,43,34,10,122,49,銀卡,1,2.4,咖啡,0
M0470,男,72,27,3,95,5,一般,0,1.6,咖啡,1
M0471,女,54,9,2,89,11,一般,1,2.0,烘焙,0
M0472,男,45,2,8,97,22,一般,1,2.0,茶飲,0
M0473,女,55,24,17,121,4,金卡,1,6.2,咖啡,1
M0474,女,72,14,3,135,5,一般,1,3.4,咖啡,0
M0475,女,51,29,10,289,14,銀卡,1,7.3,咖啡,1
M0476,男,46,13,6,145,3,銀卡,1,1.6,咖啡,1
M0477,男,45,17,9,286,2,銀卡,1,4.4,咖啡,1
M0478,男,65,31,9,247,0,銀卡,1,4.3,咖啡,1
M0479,女,54,2,8,160,9,一般,1,1.0,茶飲,0
M0480,女,60,7,15,155,3,銀卡,0,0.2,茶飲,1
M0481,男,57,6,14,115,0,銀卡,1,2.6,咖啡,1
M0482,女,71,3,3,182,15,一般,0,5.8,咖啡,0
M0483,女,69,2,5,159,85,一般,1,2.9,咖啡,0
M0484,女,52,31,4,143,2,一般,1,1.0,咖啡,0
M0485,男,54,11,19,256,14,銀卡,1,3.3,茶飲,1
M0486,女,68,30,13,130,5,金卡,0,2.7,茶飲,1
M0487,男,42,7,6,195,23,銀卡,1,4.6,茶飲,1
M0488,女,50,32,10,109,0,銀卡,1,8.4,咖啡,1
M0489,男,48,3,4,71,25,一般,1,1.5,咖啡,0
M0490,男,58,34,9,118,4,銀卡,0,0.7,烘焙,1
M0491,男,51,16,6,184,41,銀卡,1,1.0,咖啡,1
M0492,女,43,29,7,206,38,銀卡,1,3.8,咖啡,0
M0493,女,65,10,1,323,90,一般,0,0.3,咖啡,0
M0494,女,65,2,7,229,12,一般,1,5.2,咖啡,0
M0495,男,65,7,12,183,0,銀卡,1,5.0,茶飲,1
M0496,男,56,16,6,207,5,銀卡,0,5.4,茶飲,0
M0497,女,40,25,14,227,1,金卡,1,1.5,咖啡,1
M0498,女,42,3,30,116,3,一般,0,2.4,茶飲,1
M0499,男,51,26,18,107,8,金卡,0,2.3,茶飲,1
M0500,女,50,10,8,143,15,銀卡,1,0.9,烘焙,0
M0501,女,50,13,12,145,23,銀卡,1,2.9,咖啡,1
M0502,女,45,35,3,101,9,一般,1,1.6,咖啡,1
M0503,女,47,30,13,185,9,金卡,0,0.9,咖啡,1
M0504,女,59,14,3,140,1,一般,1,6.3,咖啡,1
M0505,男,60,26,11,105,0,銀卡,1,1.8,烘焙,1
M0506,女,71,8,36,186,3,銀卡,0,3.0,咖啡,1
M0507,男,38,35,9,128,12,銀卡,0,9.2,烘焙,0
M0508,男,47,7,9,189,16,銀卡,0,1.6,咖啡,1
M0509,女,57,28,17,361,2,金卡,1,5.5,烘焙,1
M0510,女,38,32,18,161,0,金卡,0,2.6,烘焙,1
M0511,女,71,1,19,86,0,一般,1,0.9,茶飲,1
M0512,男,72,15,4,190,90,一般,0,1.6,咖啡,0
M0513,女,49,13,8,151,6,銀卡,1,1.6,茶飲,0
M0514,男,52,18,4,109,7,一般,1,2.5,烘焙,1
M0515,男,60,12,8,89,28,銀卡,0,1.2,咖啡,0
M0516,男,61,1,5,203,1,一般,1,1.4,烘焙,1
M0517,男,42,35,5,180,29,銀卡,0,1.4,咖啡,1
M0518,女,68,22,9,165,8,銀卡,1,4.9,烘焙,1
M0519,男,63,17,22,176,16,銀卡,1,2.8,茶飲,1
M0520,女,60,13,12,181,3,銀卡,1,4.4,茶飲,1
M0521,男,61,32,6,211,15,銀卡,1,1.3,茶飲,1
M0522,男,36,3,5,150,12,一般,1,2.4,咖啡,1
M0523,男,72,35,6,182,32,銀卡,0,1.5,咖啡,0
M0524,女,64,3,4,176,26,一般,0,1.3,咖啡,0
M0525,男,42,6,7,82,17,銀卡,1,2.3,咖啡,1
M0526,女,57,27,6,247,4,銀卡,1,4.3,茶飲,1
M0527,女,72,25,21,191,9,金卡,1,6.6,咖啡,1
M0528,女,46,2,16,95,17,一般,1,8.2,咖啡,1
M0529,女,72,21,5,123,90,銀卡,0,2.9,烘焙,0
M0530,男,58,8,4,210,57,一般,1,3.7,咖啡,0
M0531,女,72,25,12,210,4,金卡,0,0.6,咖啡,1
M0532,女,72,35,3,216,61,一般,0,2.3,茶飲,0
M0533,男,72,15,5,177,8,銀卡,0,1.2,咖啡,0
M0534,男,49,20,21,194,20,金卡,0,4.5,茶飲,1
M0535,男,46,25,9,102,20,銀卡,1,2.4,咖啡,1
M0536,男,70,18,8,161,20,銀卡,0,4.7,咖啡,0
M0537,男,53,18,5,98,15,銀卡,1,10.0,烘焙,1
M0538,男,56,19,29,195,3,金卡,1,3.3,咖啡,1
M0539,女,70,25,15,172,4,金卡,1,1.8,咖啡,1
M0540,女,56,36,1,270,59,一般,1,1.9,茶飲,0
M0541,男,62,11,16,139,4,銀卡,1,13.8,烘焙,0
M0542,男,62,27,4,91,83,一般,1,0.9,咖啡,0
M0543,男,72,1,11,168,0,一般,0,5.1,茶飲,1
M0544,男,50,9,2,149,77,一般,0,0.9,咖啡,1
M0545,女,53,21,7,161,3,銀卡,1,2.2,烘焙,1
M0546,男,49,11,8,100,6,銀卡,0,7.4,咖啡,0
M0547,男,47,11,5,178,0,銀卡,0,2.0,咖啡,1
M0548,男,44,31,2,166,31,一般,1,1.0,茶飲,0
M0549,男,72,14,3,149,8,一般,1,2.8,茶飲,0
M0550,女,53,28,1,157,90,一般,0,5.7,咖啡,0
M0551,男,42,3,7,174,27,一般,0,3.0,茶飲,1
M0552,女,72,19,2,250,16,一般,1,20.0,咖啡,0
M0553,女,42,32,7,121,31,銀卡,1,9.0,茶飲,0
M0554,男,67,25,9,114,0,銀卡,1,3.1,烘焙,1
M0555,男,56,33,8,194,16,銀卡,0,1.7,咖啡,0
M0556,女,49,7,2,166,45,一般,1,2.5,茶飲,0
M0557,男,49,31,7,157,31,銀卡,1,4.2,茶飲,1
M0558,男,56,3,26,215,11,一般,0,4.1,咖啡,0
M0559,女,40,29,11,220,12,銀卡,0,2.3,咖啡,1
M0560,女,60,28,4,245,65,一般,0,1.0,茶飲,1
M0561,女,56,29,5,135,31,銀卡,0,4.1,茶飲,0
M0562,男,48,35,1,185,55,一般,1,3.6,咖啡,1
M0563,女,59,32,12,244,15,金卡,0,6.2,咖啡,1
M0564,女,59,25,4,105,90,一般,0,4.2,咖啡,0
M0565,男,45,25,4,111,0,一般,1,3.9,茶飲,0
M0566,女,54,15,7,112,32,銀卡,0,2.1,咖啡,0
M0567,女,53,21,5,147,21,銀卡,0,3.3,咖啡,1
M0568,女,60,8,2,185,38,一般,1,2.0,咖啡,0
M0569,女,42,13,17,110,0,銀卡,0,5.5,咖啡,1
M0570,女,57,9,2,203,82,一般,1,1.9,茶飲,0
M0571,女,72,9,7,96,18,銀卡,1,12.4,咖啡,1
M0572,男,72,22,5,316,6,銀卡,0,2.3,咖啡,0
M0573,女,47,18,2,162,2,一般,1,0.6,咖啡,0
M0574,男,69,31,22,120,0,金卡,1,0.8,茶飲,1
M0575,女,43,34,8,135,0,銀卡,0,1.4,茶飲,1
M0576,男,72,2,14,202,21,一般,0,0.8,咖啡,1
M0577,女,49,10,6,98,46,銀卡,0,5.7,烘焙,0
M0578,男,51,16,8,144,22,銀卡,0,5.3,茶飲,0
M0579,男,66,22,3,76,6,一般,1,4.1,茶飲,1
M0580,女,62,22,5,158,50,銀卡,1,1.4,咖啡,0
M0581,女,44,22,2,168,51,一般,0,5.0,茶飲,0
M0582,女,62,20,10,93,24,銀卡,0,2.0,咖啡,0
M0583,女,72,23,3,318,3,一般,1,1.1,咖啡,1
M0584,男,57,8,5,208,4,銀卡,1,1.6,茶飲,0
M0585,男,61,24,10,129,10,銀卡,1,4.6,茶飲,0
M0586,女,48,35,7,129,10,銀卡,0,3.6,茶飲,0
M0587,女,43,35,30,192,13,金卡,1,6.6,烘焙,1
M0588,男,58,7,0,207,4,一般,1,5.9,茶飲,0
M0589,女,50,12,4,159,10,一般,1,0.8,咖啡,0
M0590,男,70,10,6,239,2,銀卡,0,2.2,茶飲,1
M0591,女,54,18,7,105,13,銀卡,0,2.7,烘焙,0
M0592,男,51,27,11,146,0,銀卡,1,3.2,烘焙,1
M0593,女,40,2,3,135,18,一般,1,1.9,咖啡,0
M0594,女,39,5,2,85,13,一般,1,1.4,咖啡,0
M0595,女,48,35,6,96,21,銀卡,1,2.8,茶飲,1
M0596,女,54,12,4,122,45,一般,1,1.5,咖啡,0
M0597,女,51,12,4,164,6,一般,1,5.4,烘焙,1
M0598,女,47,19,4,131,1,一般,0,2.5,咖啡,1
M0599,女,43,1,1,145,20,一般,1,3.5,咖啡,0
M0600,女,53,30,0,103,90,一般,1,4.7,咖啡,0
M0601,男,50,9,9,179,1,銀卡,1,1.5,咖啡,0
M0602,女,62,30,5,154,39,銀卡,0,4.7,烘焙,0
M0603,男,52,22,1,125,51,一般,0,3.4,茶飲,0
M0604,男,72,15,20,94,4,銀卡,1,3.1,烘焙,1
M0605,女,46,25,6,100,2,銀卡,1,7.7,咖啡,1
M0606,女,59,2,6,144,0,一般,0,3.3,茶飲,0
M0607,男,54,33,8,110,36,銀卡,0,8.4,茶飲,0
M0608,女,56,23,6,178,12,銀卡,0,2.3,茶飲,1
M0609,女,39,23,2,180,90,一般,1,1.4,烘焙,0
M0610,女,51,5,3,228,79,一般,1,9.5,茶飲,0
M0611,男,58,13,4,145,3,一般,0,2.0,咖啡,0
M0612,男,67,30,12,167,17,金卡,0,1.3,茶飲,0
M0613,男,37,11,21,150,30,銀卡,1,2.5,烘焙,1
M0614,男,51,8,8,212,34,銀卡,0,1.1,咖啡,0
M0615,女,54,6,6,147,17,銀卡,1,3.8,咖啡,0
M0616,女,42,23,4,174,44,一般,1,1.6,茶飲,0
M0617,女,39,18,10,260,0,銀卡,1,4.3,咖啡,1
M0618,男,57,12,15,98,28,銀卡,0,5.4,咖啡,1
M0619,男,54,27,11,106,41,銀卡,0,1.9,咖啡,1
M0620,男,47,21,5,167,12,銀卡,1,1.2,咖啡,1
M0621,男,66,33,6,208,2,銀卡,0,7.1,咖啡,1
M0622,男,46,33,3,153,37,一般,0,5.7,咖啡,0
M0623,女,57,9,4,270,21,一般,0,4.3,咖啡,0
M0624,男,69,10,9,223,14,銀卡,0,3.3,茶飲,0
M0625,女,54,10,3,126,40,一般,0,1.8,烘焙,0
M0626,女,50,3,11,252,4,一般,1,2.5,烘焙,1
M0627,女,68,25,5,123,9,銀卡,1,3.6,咖啡,1
M0628,女,30,20,21,202,0,金卡,1,8.2,烘焙,0
M0629,女,43,11,3,84,63,一般,0,0.7,茶飲,0
M0630,女,46,7,4,174,15,一般,0,4.0,咖啡,0
M0631,男,64,26,4,181,31,一般,0,1.7,咖啡,0
M0632,男,54,6,5,190,0,銀卡,1,5.8,茶飲,1
M0633,女,62,8,1,155,17,一般,1,2.9,烘焙,1
M0634,男,61,20,1,150,16,一般,1,2.1,咖啡,0
M0635,男,66,22,36,161,0,金卡,1,6.6,烘焙,1
M0636,男,38,3,5,117,3,一般,0,4.6,咖啡,0
M0637,女,43,25,10,107,19,銀卡,1,1.7,茶飲,1
M0638,男,71,21,2,272,27,一般,0,11.4,茶飲,0
M0639,女,56,11,2,121,22,一般,0,1.8,烘焙,0
M0640,女,55,33,4,140,23,一般,0,1.2,咖啡,0
M0641,女,44,17,11,207,7,銀卡,0,2.4,烘焙,1
M0642,女,52,19,23,248,12,金卡,0,2.6,烘焙,1
M0643,女,52,32,1,162,9,一般,0,4.2,烘焙,0
M0644,女,69,30,15,219,13,金卡,0,2.7,烘焙,1
M0645,女,44,17,4,184,25,一般,0,0.8,咖啡,1
M0646,男,44,11,2,165,14,一般,1,7.0,咖啡,1
M0647,男,58,29,4,199,7,一般,1,4.4,咖啡,1
M0648,女,44,9,13,124,1,銀卡,1,2.3,茶飲,1
M0649,男,72,31,10,208,20,銀卡,0,3.2,烘焙,0
M0650,男,59,26,28,171,10,金卡,0,3.8,茶飲,1
M0651,男,34,24,3,164,24,一般,1,3.7,烘焙,0
M0652,女,56,10,5,131,37,銀卡,0,3.9,茶飲,0
M0653,男,44,30,10,189,11,銀卡,0,2.6,咖啡,0
M0654,女,72,26,11,172,6,銀卡,1,2.8,茶飲,1
M0655,女,68,26,8,134,0,銀卡,0,1.2,烘焙,0
M0656,男,59,34,1,192,90,一般,1,4.1,咖啡,0
M0657,男,50,21,14,244,0,金卡,1,4.1,咖啡,1
M0658,女,60,28,3,167,37,一般,1,2.4,咖啡,0
M0659,女,48,27,4,159,14,一般,0,3.8,烘焙,0
M0660,男,66,20,6,200,73,銀卡,1,4.1,茶飲,1
M0661,女,46,23,6,120,15,銀卡,0,6.4,咖啡,0
M0662,女,37,34,10,81,2,銀卡,1,1.7,咖啡,0
M0663,女,38,11,7,178,12,銀卡,1,2.8,咖啡,0
M0664,男,55,7,3,194,15,一般,1,5.0,茶飲,0
M0665,男,38,10,10,98,9,銀卡,1,3.5,茶飲,1
M0666,女,58,12,12,107,5,銀卡,1,0.8,茶飲,1
M0667,男,58,22,10,135,22,銀卡,0,1.9,咖啡,1
M0668,男,42,15,4,87,38,一般,1,4.9,咖啡,0
M0669,女,36,13,12,309,23,銀卡,1,2.9,咖啡,1
M0670,女,47,18,15,86,5,金卡,1,2.1,咖啡,1
M0671,男,55,30,9,135,3,銀卡,0,1.1,茶飲,1
M0672,女,51,36,9,204,2,銀卡,1,4.1,咖啡,1
M0673,男,72,18,17,142,3,金卡,0,1.1,咖啡,1
M0674,女,35,12,11,92,15,銀卡,1,1.3,茶飲,0
M0675,男,54,24,10,134,39,銀卡,1,4.0,茶飲,0
M0676,女,62,30,15,133,7,金卡,0,2.8,茶飲,1
M0677,女,49,6,10,114,2,銀卡,0,2.6,咖啡,0
M0678,女,47,26,1,98,47,一般,0,2.4,茶飲,0
M0679,男,72,30,37,123,1,金卡,0,1.9,咖啡,1
M0680,女,53,23,10,185,9,銀卡,1,2.6,咖啡,1
M0681,女,46,10,13,201,76,銀卡,1,1.1,咖啡,0
M0682,男,66,3,5,174,90,一般,1,2.8,咖啡,0
M0683,男,67,2,4,128,35,一般,0,1.3,茶飲,0
M0684,女,47,14,2,124,33,一般,1,2.0,咖啡,0
M0685,女,47,15,4,196,71,一般,1,3.4,茶飲,0
M0686,女,52,4,5,253,15,一般,1,3.6,咖啡,0
M0687,女,62,20,5,169,8,銀卡,0,4.3,烘焙,0
M0688,男,53,24,6,211,38,銀卡,0,6.0,咖啡,0
M0689,女,56,22,12,151,9,金卡,1,1.6,烘焙,1
M0690,女,47,35,7,133,21,銀卡,1,1.6,茶飲,1
M0691,女,72,21,5,202,12,銀卡,1,2.8,烘焙,1
M0692,女,37,22,11,127,10,銀卡,1,1.9,咖啡,1
M0693,女,44,35,17,148,4,金卡,1,9.7,咖啡,1
M0694,男,60,13,9,198,52,銀卡,0,2.1,咖啡,0
M0695,女,69,26,9,138,10,銀卡,0,2.0,茶飲,1
M0696,男,46,33,9,273,7,銀卡,0,4.5,咖啡,1
M0697,女,33,17,9,221,31,銀卡,0,0.7,烘焙,0
M0698,女,56,14,7,227,17,銀卡,1,3.7,烘焙,1
M0699,女,45,22,4,172,12,一般,1,2.4,茶飲,0
M0700,男,65,18,6,155,57,銀卡,1,3.2,咖啡,0
M0701,女,72,17,5,181,0,銀卡,0,1.8,咖啡,1
M0702,女,69,33,4,145,12,一般,0,3.3,茶飲,0
M0703,男,47,14,1,206,41,一般,1,6.3,茶飲,0
M0704,女,50,23,8,257,9,銀卡,1,2.8,咖啡,0
M0705,男,28,7,6,112,10,銀卡,0,2.6,茶飲,0
M0706,男,55,19,16,141,39,金卡,1,4.1,烘焙,0
M0707,男,40,1,3,250,31,一般,0,9.4,咖啡,0
M0708,男,57,19,2,112,21,一般,0,4.2,烘焙,0
M0709,男,36,10,5,131,2,銀卡,1,3.9,茶飲,1
M0710,女,52,33,2,183,52,一般,1,4.6,咖啡,0
M0711,女,57,2,5,108,10,一般,1,5.1,咖啡,1
M0712,女,37,2,7,154,4,一般,1,3.5,咖啡,0
M0713,男,58,33,1,108,90,一般,1,1.3,烘焙,0
M0714,男,72,9,10,184,23,銀卡,1,10.7,咖啡,1
M0715,女,72,30,5,145,0,銀卡,1,2.0,咖啡,0
M0716,男,57,22,5,162,8,銀卡,0,5.3,茶飲,0
M0717,男,69,25,4,253,14,一般,0,2.3,咖啡,1
M0718,女,39,20,4,198,7,一般,0,3.3,咖啡,0
M0719,男,72,12,9,130,3,銀卡,0,0.7,茶飲,0
M0720,男,59,20,20,172,18,金卡,0,0.9,茶飲,1
M0721,女,58,2,17,201,2,一般,1,1.4,茶飲,0
M0722,男,56,33,4,333,13,一般,1,0.9,咖啡,1
M0723,女,50,7,14,199,0,銀卡,1,2.9,咖啡,1
M0724,女,40,17,8,244,1,銀卡,1,2.6,咖啡,0
M0725,女,61,1,31,142,5,一般,1,2.8,茶飲,1
M0726,女,53,18,11,163,37,銀卡,1,2.8,咖啡,1
M0727,女,43,34,3,135,6,一般,1,3.8,茶飲,1
M0728,女,37,35,18,70,11,金卡,0,1.4,咖啡,1
M0729,男,71,32,3,349,3,一般,1,0.9,咖啡,0
M0730,女,53,24,5,146,14,銀卡,0,5.2,茶飲,0
M0731,女,72,31,15,125,11,金卡,0,2.8,茶飲,0
M0732,男,49,24,12,199,1,金卡,0,1.7,咖啡,1
M0733,女,45,4,4,243,90,一般,1,0.7,咖啡,0
M0734,女,61,7,3,118,60,一般,0,2.6,茶飲,0
M0735,女,47,23,8,334,18,銀卡,1,6.7,咖啡,1
M0736,女,44,22,6,194,2,銀卡,1,3.3,咖啡,0
M0737,男,72,14,1,195,5,一般,1,0.9,咖啡,0
M0738,女,47,9,1,166,27,一般,1,2.1,烘焙,0
M0739,女,42,8,7,282,8,銀卡,0,1.7,烘焙,1
M0740,男,54,14,7,122,13,銀卡,1,1.3,烘焙,1
M0741,女,43,24,2,143,56,一般,0,0.9,茶飲,0
M0742,男,45,14,4,348,11,一般,1,2.8,咖啡,0
M0743,男,72,17,6,164,6,銀卡,1,2.7,茶飲,1
M0744,男,72,36,1,389,32,一般,0,2.6,咖啡,0
M0745,男,52,34,9,173,1,銀卡,1,3.8,茶飲,0
M0746,男,47,29,7,188,9,銀卡,1,4.8,咖啡,1
M0747,男,62,21,5,195,12,銀卡,0,2.8,茶飲,0
M0748,女,55,15,1,219,37,一般,0,2.3,咖啡,0
M0749,男,40,33,9,147,17,銀卡,1,1.0,茶飲,1
M0750,男,72,16,11,169,21,銀卡,1,0.7,烘焙,1
M0751,男,62,19,4,328,26,一般,1,2.6,茶飲,1
M0752,男,31,13,6,113,15,銀卡,0,2.0,烘焙,1
M0753,男,48,14,14,149,5,銀卡,0,3.0,烘焙,0
M0754,女,36,27,12,232,1,金卡,1,0.6,茶飲,0
M0755,男,72,21,13,79,8,金卡,1,3.2,茶飲,0
M0756,男,72,1,8,150,0,一般,1,0.9,咖啡,0
M0757,男,72,28,3,161,36,一般,0,6.0,咖啡,0
M0758,男,50,1,12,326,0,一般,1,3.0,烘焙,1
M0759,女,52,34,16,222,4,金卡,1,0.8,茶飲,1
M0760,男,60,32,10,188,0,銀卡,0,3.1,咖啡,1
M0761,女,58,24,4,160,9,一般,1,5.2,烘焙,0
M0762,女,51,31,8,101,27,銀卡,1,6.4,咖啡,0
M0763,女,72,10,2,208,38,一般,0,0.9,茶飲,0
M0764,女,64,20,1,212,90,一般,1,1.9,咖啡,0
M0765,女,72,10,5,247,59,銀卡,1,3.0,烘焙,1
M0766,女,52,14,4,215,2,一般,1,4.7,咖啡,1
M0767,男,47,25,4,103,35,一般,1,3.2,烘焙,0
M0768,女,58,21,9,134,11,銀卡,1,3.4,茶飲,0
M0769,男,59,29,8,109,7,銀卡,1,4.1,茶飲,1
M0770,男,65,6,7,162,40,銀卡,0,11.3,咖啡,0
M0771,女,41,6,1,153,29,一般,0,4.1,烘焙,0
M0772,男,52,18,13,196,7,金卡,1,1.4,烘焙,0
M0773,男,51,18,15,164,17,金卡,1,1.4,茶飲,1
M0774,女,56,10,8,197,20,銀卡,0,4.2,茶飲,0
M0775,女,72,30,10,131,10,銀卡,0,5.2,茶飲,1
M0776,男,65,2,10,241,0,一般,1,2.8,咖啡,1
M0777,男,39,22,7,341,23,銀卡,1,2.6,咖啡,1
M0778,男,50,11,9,209,18,銀卡,1,3.9,咖啡,1
M0779,男,39,24,8,136,57,銀卡,0,2.7,咖啡,1
M0780,女,67,6,8,132,7,銀卡,1,1.8,咖啡,1
M0781,女,51,15,16,127,0,銀卡,0,2.7,茶飲,1
M0782,男,72,16,15,186,4,銀卡,0,5.0,咖啡,1
M0783,女,41,35,3,108,77,一般,1,1.8,咖啡,0
M0784,男,70,9,6,189,23,銀卡,1,5.4,茶飲,1
M0785,男,56,13,7,124,3,銀卡,0,1.9,茶飲,1
M0786,男,72,32,4,212,0,一般,1,1.6,咖啡,1
M0787,男,51,12,7,151,0,銀卡,1,10.8,茶飲,0
M0788,男,54,15,1,228,23,一般,1,4.6,烘焙,1
M0789,女,59,21,2,114,7,一般,1,2.0,咖啡,1
M0790,男,47,9,1,202,16,一般,0,1.1,烘焙,0
M0791,男,60,14,8,211,5,銀卡,0,2.0,茶飲,1
M0792,女,44,22,9,235,33,銀卡,0,6.8,咖啡,0
M0793,女,44,16,4,327,0,一般,0,4.5,茶飲,1
M0794,男,55,1,5,204,16,一般,1,5.8,茶飲,1
M0795,女,65,29,7,114,13,銀卡,1,3.3,茶飲,0
M0796,男,59,28,4,214,12,一般,1,0.9,烘焙,0
M0797,男,72,13,7,132,0,銀卡,0,0.7,茶飲,1
M0798,男,55,17,12,211,0,銀卡,0,1.4,咖啡,0
M0799,女,46,6,8,198,3,銀卡,0,14.9,咖啡,0
M0800,女,48,9,18,153,11,銀卡,0,1.1,咖啡,1
M0801,女,57,3,10,265,20,一般,1,1.5,咖啡,1
M0802,男,63,26,3,151,2,一般,1,1.9,咖啡,1
M0803,女,63,5,13,209,10,一般,1,1.4,咖啡,1
M0804,女,53,12,8,164,17,銀卡,1,0.5,烘焙,1
M0805,女,59,8,3,152,51,一般,1,2.5,咖啡,0
M0806,女,60,1,16,146,5,一般,0,14.3,咖啡,0
M0807,女,61,5,2,167,8,一般,1,0.6,茶飲,1
M0808,男,51,22,3,272,0,一般,1,1.2,烘焙,0
M0809,女,47,16,11,181,5,銀卡,0,3.9,茶飲,1
M0810,女,70,35,3,134,23,一般,1,2.2,咖啡,0
M0811,女,50,21,4,157,24,一般,0,3.7,烘焙,1
M0812,女,57,2,10,157,9,一般,1,2.1,烘焙,0
M0813,男,46,28,17,128,2,金卡,1,8.2,咖啡,1
M0814,男,56,7,5,180,90,銀卡,0,3.0,烘焙,0
M0815,女,66,30,4,181,8,一般,0,3.4,咖啡,0
M0816,女,72,25,3,109,13,一般,0,2.1,咖啡,0
M0817,女,66,21,2,201,49,一般,0,4.6,茶飲,0
M0818,女,43,29,4,106,4,一般,1,10.9,咖啡,1
M0819,女,72,11,13,157,15,銀卡,0,1.4,茶飲,0
M0820,女,63,1,6,185,17,一般,0,0.7,咖啡,0
M0821,女,50,6,12,143,2,銀卡,1,5.5,茶飲,0
M0822,男,50,15,3,141,40,一般,0,1.5,茶飲,0
M0823,女,35,12,1,216,90,一般,0,3.3,茶飲,0
M0824,女,58,15,8,187,14,銀卡,1,1.6,咖啡,1
M0825,女,55,18,5,294,8,銀卡,1,13.6,咖啡,1
M0826,女,46,3,8,194,29,一般,0,2.2,咖啡,1
M0827,男,53,30,9,174,52,銀卡,1,2.2,咖啡,1
M0828,男,72,23,7,206,0,銀卡,1,1.1,茶飲,1
M0829,男,50,1,18,187,24,一般,1,5.2,茶飲,1
M0830,男,52,5,12,176,35,一般,1,1.5,咖啡,0
M0831,男,41,20,6,229,2,銀卡,1,2.1,茶飲,1
M0832,男,54,32,1,135,43,一般,0,0.9,烘焙,0
M0833,女,60,6,9,196,2,銀卡,0,2.4,烘焙,1
M0834,女,65,36,5,208,2,銀卡,1,7.9,咖啡,0
M0835,男,57,9,5,164,55,銀卡,1,2.9,烘焙,0
M0836,女,54,35,4,118,26,一般,1,0.8,茶飲,0
M0837,男,57,33,18,178,0,金卡,1,3.5,咖啡,1
M0838,女,45,24,4,162,0,一般,1,1.9,咖啡,1
M0839,女,72,3,4,133,13,一般,0,2.0,咖啡,0
M0840,女,64,10,4,222,26,一般,0,3.2,咖啡,1
M0841,男,42,9,1,202,28,一般,0,3.9,茶飲,0
